country,population 2022,population 2023,rank,Total number of unemployement,unemployement female,unemployement male,unemployement rate
India,"1,417,173,173.00","1,428,627,663.00",1,,,,
China,"1,425,887,337.00","1,425,671,352.00",2,,,,
United States,"338,289,857.00","339,996,563.00",3,,,,
Indonesia,"275,501,339.00","277,534,122.00",4,,,,
Pakistan,"235,824,862.00","240,485,658.00",5,,,,
Nigeria,"218,541,212.00","223,804,632.00",6,,,,
Brazil,"215,313,498.00","216,422,446.00",7,,,,
Bangladesh,"171,186,372.00","172,954,319.00",8,,,,
Russia,"144,713,314.00","144,444,359.00",9,,,,
Mexico,"127,504,125.00","128,455,567.00",10,,,,
Ethiopia,"123,379,924.00","126,527,060.00",11,,,,
Japan,"123,951,692.00","123,294,513.00",12,,,,
Philippines,"115,559,009.00","117,337,368.00",13,,,,
Egypt,"110,990,103.00","112,716,598.00",14,,,,
DR Congo,"99,010,212.00","102,262,808.00",15,,,,
Vietnam,"98,186,856.00","98,858,950.00",16,,,,
Iran,"88,550,570.00","89,172,767.00",17,,,,
Turkey,"85,341,241.00","85,816,199.00",18,,,,
Germany,"83,369,843.00","83,294,633.00",19,,,,
Thailand,"71,697,030.00","71,801,279.00",20,,,,
United Kingdom,"67,508,936.00","67,736,802.00",21,,,,
Tanzania,"65,497,748.00","67,438,106.00",22,,,,
France,"64,626,628.00","64,756,584.00",23,,,,
South Africa,"59,893,885.00","60,414,495.00",24,,,,
Italy,"59,037,474.00","58,870,762.00",25,,,,
Kenya,"54,027,487.00","55,100,586.00",26,,,,
Myanmar,"54,179,306.00","54,577,997.00",27,,,,
Colombia,"51,874,024.00","52,085,168.00",28,,,,
South Korea,"51,815,810.00","51,784,059.00",29,,,,
Uganda,"47,249,585.00","48,582,334.00",30,,,,
Sudan,"46,874,204.00","48,109,006.00",31,,,,
Spain,"47,558,630.00","47,519,628.00",32,,,,
Argentina,"45,510,318.00","45,773,884.00",33,,,,
Algeria,"44,903,225.00","45,606,480.00",34,,,,
Iraq,"44,496,122.00","45,504,560.00",35,,,,
Afghanistan,"41,128,771.00","42,239,854.00",36,,,,
Poland,"39,857,145.00","41,026,067.00",37,,,,
Canada,"38,454,327.00","38,781,291.00",38,,,,
Morocco,"37,457,971.00","37,840,044.00",39,,,,
Saudi Arabia,"36,408,820.00","36,947,025.00",40,,,,
Ukraine,"39,701,739.00","36,744,634.00",41,,,,
Angola,"35,588,987.00","36,684,202.00",42,,,,
Uzbekistan,"34,627,652.00","35,163,944.00",43,,,,
Yemen,"33,696,614.00","34,449,825.00",44,,,,
Peru,"34,049,588.00","34,352,719.00",45,,,,
Malaysia,"33,938,221.00","34,308,525.00",46,,,,
Ghana,"33,475,870.00","34,121,985.00",47,,,,
Mozambique,"32,969,518.00","33,897,354.00",48,,,,
Nepal,"30,547,580.00","30,896,590.00",49,,,,
Madagascar,"29,611,714.00","30,325,732.00",50,,,,
Ivory Coast,"28,160,542.00","28,873,034.00",51,,,,
Venezuela,"28,301,696.00","28,838,499.00",52,,,,
Cameroon,"27,914,536.00","28,647,293.00",53,,,,
Niger,"26,207,977.00","27,202,843.00",54,,,,
Australia,"26,177,413.00","26,439,111.00",55,,,,
North Korea,"26,069,416.00","26,160,821.00",56,,,,
Taiwan,"23,893,394.00","23,923,276.00",57,,,,
Mali,"22,593,590.00","23,293,698.00",58,,,,
Burkina Faso,"22,673,762.00","23,251,485.00",59,,,,
Syria,"22,125,249.00","23,227,014.00",60,,,,
Sri Lanka,"21,832,143.00","21,893,579.00",61,,,,
Malawi,"20,405,317.00","20,931,751.00",62,,,,
Zambia,"20,017,675.00","20,569,737.00",63,,,,
Romania,"19,659,267.00","19,892,812.00",64,,,,
Chile,"19,603,733.00","19,629,590.00",65,,,,
Kazakhstan,"19,397,998.00","19,606,633.00",66,,,,
Chad,"17,723,315.00","18,278,568.00",67,,,,
Ecuador,"18,001,000.00","18,190,484.00",68,,,,
Somalia,"17,597,511.00","18,143,378.00",69,,,,
Guatemala,"17,843,908.00","18,092,026.00",70,,,,
Senegal,"17,316,449.00","17,763,163.00",71,,,,
Netherlands,"17,564,014.00","17,618,299.00",72,,,,
Cambodia,"16,767,842.00","16,944,826.00",73,,,,
Zimbabwe,"16,320,537.00","16,665,409.00",74,,,,
Guinea,"13,859,341.00","14,190,612.00",75,,,,
Rwanda,"13,776,698.00","14,094,683.00",76,,,,
Benin,"13,352,864.00","13,712,828.00",77,,,,
Burundi,"12,889,576.00","13,238,559.00",78,,,,
Tunisia,"12,356,117.00","12,458,223.00",79,,,,
Bolivia,"12,224,110.00","12,388,571.00",80,,,,
Haiti,"11,584,996.00","11,724,763.00",81,,,,
Belgium,"11,655,930.00","11,686,140.00",82,,,,
Jordan,"11,285,869.00","11,337,052.00",83,,,,
